conversation_id,customer_message,gold_intent,predicted_intent,confidence,gold_escalation,predicted_decision,decision_reason,reply,retrieved_evidence
1016385,"@AmazonHelp Phoned amazon &amp; ive been refunded, parcel is 3 days late, promised next day with prime. Very stressful, been told might be here tomorrow.",delivery_delay,delivery_delay,0.6156,AUTO-HANDLE,ESCALATE,Escalated because best Knowledge similarity 0.15 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""175374"", ""similarity"": 0.1522, ""customer_message"": ""@AmazonHelp The carrier is Amazon Shipping. I'm currently unaware of how to contact them. But incredibly frustrated by high promises"", ""historical_response"": ""@157185 Thanks for the information, Morgan.  We'd love to look into this for you, but we can't access your account via Twitter. Please reach out to us with the phone or chat options here: https://t.co/JzP7hlA23B ^AR""}, {""conversation_id"": ""1037138"", ""similarity"": 0.1518, ""customer_message"": ""@AmazonHelp think you should change the TV ads that show things arriving the next day with Prime. Or refund 10% per day over next day."", ""historical_response"": ""@365349 Chris, I'm sorry if you're not getting the full use of your benefits. Did you have an issue you want to discuss with us, possibly a shipping issue? Did we miss the mark? ^SY""}, {""conversation_id"": ""2771686"", ""similarity"": 0.1428, ""customer_message"": ""@AmazonHelp That's not the question... I payed for Prime because it promised next day delivery... Email and Online info https://t.co/Irt6xapt7q"", ""historical_response"": ""@774761 Thank you for the updated information. We do not have access to your account information via Twitter. Please contact us via phone or chat at the following link so we can look into available options with you:  https://t.co/JzP7hlA23B ^MW""}]"
111811,@AmazonHelp The order was placed on the wrong card. Initially I just wanted to change the card. When I was told that was impossible I tried to cancel the order. When that was impossible I was forced to pay $31.00 and have my bank stop payment.,refund_return_or_cancellation,payment_or_card_charge,0.8687,ESCALATE,AUTO-HANDLE,Intent confidence 0.87 and best Knowledge similarity 0.23 meet the auto-handle thresholds.,"I'm sorry for any troubles with this order! Not all items are eligible for expedited shipping. You will see the availability through check out. Also, just to clarify, have you received an e-mail regarding this order? ^AL","[{""conversation_id"": ""703001"", ""similarity"": 0.2299, ""customer_message"": ""@AmazonHelp I received a confirmation that the order was placed, but not a cancellation email."", ""historical_response"": ""@287922 I'm sorry for any troubles with this order! Not all items are eligible for expedited shipping. You will see the availability through check out. Also, just to clarify, have you received an e-mail regarding this order? ^AL""}, {""conversation_id"": ""543833"", ""similarity"": 0.1904, ""customer_message"": ""@AmazonHelp Can y\u2019all just replace the order \ud83d\ude44. Your rep said it wasn\u2019t in stock anymore but it is. Why is this so difficult"", ""historical_response"": ""@240102 Not all items are able to be replaced, only refunded. I'm sorry for any inconvenience this may have caused. ^KP""}, {""conversation_id"": ""553304"", ""similarity"": 0.1883, ""customer_message"": ""@AmazonHelp My order was delivered to the wrong address."", ""historical_response"": ""@249038 Oh no, Shae! That's certainly not what we want for our customers. We'd like to have a member of our team look into this for you. When you have a moment, please provide us with your order details here: https://t.co/s1RbwZVZAm ^NS""}]"
1489135,"@AmazonHelp Oh, except now I can't cancel the order! There's an 'error' stopping me https://t.co/8KcMjhYLHM",refund_return_or_cancellation,refund_return_or_cancellation,0.5879,ESCALATE,ESCALATE,Escalated because intent confidence 0.59 is below 0.60.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""21849"", ""similarity"": 0.2957, ""customer_message"": ""@AmazonHelp Oh \ud83d\ude44"", ""historical_response"": ""@120762 Not all Prime products are eligible for express delivery, Aman. Please refer to this page: https://t.co/bb9E8ffSGy ^JC""}, {""conversation_id"": ""158771"", ""similarity"": 0.2434, ""customer_message"": ""@AmazonHelp I want to cancel an order...... Your app or website will not allow it and just states there's an error. I want to cancel the order before it dispatches! Apparently I can't!"", ""historical_response"": ""@152500 I am sorry for the frustration! Let's get you with a representative to see what options we have to get your order cancelled: https://t.co/JzP7hlA23B ^DJ""}, {""conversation_id"": ""2266764"", ""similarity"": 0.2196, ""customer_message"": ""@AmazonHelp Oh damn!\ud83d\ude13"", ""historical_response"": ""@352422 Currently we have no updates on it. Please stay tuned to our website. ^RW""}]"
1721734,@AmazonHelp I mean can i add money to my gift card balance through my debit card instead of going somewhere and buying a gift card,gift_card_or_promotion,gift_card_or_promotion,0.9744,AUTO-HANDLE,AUTO-HANDLE,Intent confidence 0.97 and best Knowledge similarity 0.34 meet the auto-handle thresholds.,"If you want to add another gift card to your balance, you can do so by claiming it here:  ^AJ","[{""conversation_id"": ""1225698"", ""similarity"": 0.335, ""customer_message"": ""@AmazonHelp I want add money to my account"", ""historical_response"": ""@306989 If you want to add another gift card to your balance, you can do so by claiming it here: https://t.co/tClN1mhWi1 ^AJ""}, {""conversation_id"": ""2240633"", ""similarity"": 0.3238, ""customer_message"": ""@AmazonHelp I have a Amazon Gift card which has balance when I try to use it , it says the card balance is used. I have check the balance exist. So what information you need to help me better . Amazon Gift card I'd ? I am happy to share but on Twitter only the reason is mentioned earlier."", ""historical_response"": ""@653280 In that case, please drop in your details here: https://t.co/beaaDm0muc. We will get back to you once we receive your details.^SC""}, {""conversation_id"": ""963200"", ""similarity"": 0.287, ""customer_message"": ""@AmazonHelp I was supposed to receive a refund on an amazon gift card and somehow it\u2019s going back to my debit card which takes too long."", ""historical_response"": ""@348580 I'm sorry for the frustration! Without giving account details, can you please let us know what's going on? ^AC""}]"
1843523,@AmazonHelp I was issued a refund on 17th for a lost trade in and then it dissapered from my account and no one can tell me why and they stopped replying to me misse all black friday deals and ill miss cyber monday as well,delivery_delay,refund_return_or_cancellation,0.5634,ESCALATE,ESCALATE,Escalated because intent confidence 0.56 is below 0.60.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""2756715"", ""similarity"": 0.2176, ""customer_message"": ""@AmazonHelp i think the last person got me going - i was asking for a black friday deals page that still had the capability to filter on lightning deals.  the black friday deals page doesnt and i can't find anything."", ""historical_response"": ""@228640 I found the link you're looking for (lightning deals): https://t.co/9Ik15rfU7Y Once you've arrived at that page, you can scroll down a little and sort by \""deal type.\""  ^SE""}, {""conversation_id"": ""2909187"", ""similarity"": 0.1688, ""customer_message"": ""@AmazonHelp Yes every time so far and still no delivery\u2019s all I want is for my orders to be delivered and no one can tell me why that seems impossible. No other company has ever had any issue delivering to me"", ""historical_response"": ""@805438 I'd like to have a member of my team look into this with you. Please send us your details here: https://t.co/WTeW7YBYIz ^JM""}, {""conversation_id"": ""1350067"", ""similarity"": 0.1686, ""customer_message"": ""@AmazonHelp anyway you can tell me why it was delayed"", ""historical_response"": ""@434828 Thanks for reaching out, Alex. Deliveries can be made up until 8pm. Please keep us posted on it's arrival. ^HS""}]"
1843573,@AmazonHelp goods were being delivered on the 25th but changed to the 24th by yous tracking on 24th an not delivered no tracking info 25th,delivery_tracking,delivery_delay,0.6692,AUTO-HANDLE,AUTO-HANDLE,Intent confidence 0.67 and best Knowledge similarity 0.25 meet the auto-handle thresholds.,"Hey Abi, I'm sorry about the issues. Could you please contact us here:  so that we can look into this further? ^PJ","[{""conversation_id"": ""2473402"", ""similarity"": 0.2519, ""customer_message"": ""@AmazonHelp It says it was delivered on the 24th October... but it wasn't"", ""historical_response"": ""@707234 Hey Abi, I'm sorry about the issues. Could you please contact us here: https://t.co/oGDklGgbCZ, so that we can look into this further? ^PJ""}, {""conversation_id"": ""1160638"", ""similarity"": 0.2237, ""customer_message"": ""@AmazonHelp No tracking??? https://t.co/UVsn7xw7Tc"", ""historical_response"": ""@393060 Hmm.... Is this item being shipped by us or a third-party seller on our site? We'd like to get this resolved for you! ^ML""}, {""conversation_id"": ""1320512"", ""similarity"": 0.2133, ""customer_message"": ""@AmazonHelp I checked the page and it still shows the results of the 25th August quiz. The September 25th results were supposed to be out on Oct 25th."", ""historical_response"": ""@428326 The results of this contest has been announced. You can view the names of the winners here:https://t.co/MGupOOYvHT ^EM""}]"
2269126,@AmazonHelp Other than the dispatch confirmation and delivery which had mysteriously changed - no,account_email_or_login,delivery_delay,0.7266,ESCALATE,ESCALATE,Escalated because best Knowledge similarity 0.18 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""1177172"", ""similarity"": 0.1762, ""customer_message"": ""@AmazonHelp No resolution other than reschedule delivery, which puts my expected delivery date out even further. They told me to call carrier. Annoyed!"", ""historical_response"": ""@396886 I'm sorry to hear this, Cheryl. We're here to help! What insight was offered when you contacted us? Were you given any options? ^BL""}, {""conversation_id"": ""550536"", ""similarity"": 0.1494, ""customer_message"": ""@AmazonHelp No reason given other than the stock \u2018there\u2019s been a delay\u2019 in the email, which was then repeated by the help operative."", ""historical_response"": ""@248249 My apologies for the delay, Craig. When you spoke with us were we able to provide a reason for the delay? Have you received any updates via email? ^RB""}, {""conversation_id"": ""227338"", ""similarity"": 0.1257, ""customer_message"": ""@AmazonHelp thank you!"", ""historical_response"": ""@170230 No problem - let us know if you have any further issues ^TD""}]"
2625947,@AmazonHelp I already spoke to 2 reps about the issue of my account being charged for Prime and I didn’t authorize the transaction,delivery_tracking,payment_or_card_charge,0.5363,ESCALATE,ESCALATE,Escalated because intent confidence 0.54 is below 0.60.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""324461"", ""similarity"": 0.2442, ""customer_message"": ""@AmazonHelp Already spoke to Cust Ser. Unhelpful"", ""historical_response"": ""@193291 Sorry about the bad experience, please drop in the details here: https://t.co/cllwXc2HeK and we'll reach out. ^MS""}, {""conversation_id"": ""91446"", ""similarity"": 0.1859, ""customer_message"": ""@AmazonHelp Uk"", ""historical_response"": ""@135822 Oh no! I'm sorry for the troubles with this delivery! We want you to have a pleasant experience with us, so let's take a look to see what options we have for you!  Can you tell me which Amazon site you order from? ^FR""}, {""conversation_id"": ""2789134"", ""similarity"": 0.1831, ""customer_message"": ""@AmazonHelp Why am I being charged $108+ for a STUDENT prime account??"", ""historical_response"": ""@778543 Thanks for that information. We're here to help! Please visit us here for further assistance: https://t.co/hApLpMlfHN ^RB""}]"
2698867,"@AmazonHelp They do not. I have a strong suspicion I know who took it, though I can't understand why they'd do it. If I can't track the package down I will need a replacement at no charge.",payment_or_card_charge,payment_or_card_charge,0.3949,AUTO-HANDLE,ESCALATE,Escalated because intent confidence 0.39 is below 0.60; best Knowledge similarity 0.17 is below 0.20.,"I’m sorry, but I need a support specialist to review this request.","[{""conversation_id"": ""1327016"", ""similarity"": 0.1701, ""customer_message"": ""@AmazonHelp @429613 strong tweet"", ""historical_response"": ""@429613 Plot twist: Marcy is delivering it. \ud83d\udce6 ^ST""}, {""conversation_id"": ""721731"", ""similarity"": 0.1485, ""customer_message"": ""@AmazonHelp Everything I order from Amazon goes to the post office. I don't understand why these replacement orders aren't treated the same."", ""historical_response"": ""@171829 I understand. We'd like to look at available options with you. Please reach us by phone here: https://t.co/Q7Ftz6nj80? ^JM""}, {""conversation_id"": ""2915848"", ""similarity"": 0.1352, ""customer_message"": ""@AmazonHelp I am going to be exceptionally angry if they do not deliver tomorrow. Need items for trip out of state."", ""historical_response"": ""@797310 I'm sorry for the frustration! While delays are rare, they can occur. If you haven't received your items by the updated delivery date, please let us know. ^AC""}]"
2745963,@AmazonHelp Yes!!!! In a major way. Today is the delivery day... between the 20th and 24th and it has not even been sent to shipment. Plus where’s the point in having prime if I don’t get the agreed standard shipping (4-5/5-7days)????,delivery_delay,delivery_delay,0.9909,AUTO-HANDLE,AUTO-HANDLE,Intent confidence 0.99 and best Knowledge similarity 0.20 meet the auto-handle thresholds.,We'd like to look into our options with you in real-time. Please reach out to us by phone or chat here:  ^GR,"[{""conversation_id"": ""2279044"", ""similarity"": 0.2003, ""customer_message"": ""@AmazonHelp Still not here! \ud83d\ude21\ud83d\ude33 what\u2019s the point in playing for prime if you don\u2019t get the items when promised"", ""historical_response"": ""@662620 We'd like to look into our options with you in real-time. Please reach out to us by phone or chat here: https://t.co/qy3J24VGxb ^GR""}, {""conversation_id"": ""1731213"", ""similarity"": 0.1842, ""customer_message"": ""@AmazonHelp I still have no idea what\u2019s going on. Why am I paying for amazon prime if I don\u2019t get the service? \ud83d\ude33"", ""historical_response"": ""@523085 sorry to hear that, its not what we want you to experience ^AS""}, {""conversation_id"": ""902314"", ""similarity"": 0.1717, ""customer_message"": ""@AmazonHelp Yes it was supposed to be here today the 20th and I payed extra instead of using amazon prime two day"", ""historical_response"": ""@334211 Oh no! Let's look into available options via phone or chat here: https://t.co/hApLpMlfHN ^ML""}]"
