brand,source_file,total_tweets,customer_messages,brand_responses,linked_response_pairs,conversation_threads,median_conversation_length,usable_conversation_pct,text_coverage_pct,issue_diversity,duplicate_noise_rate,measurement_basis,selection_score
AmazonHelp,twcs.csv,169840,100503,169840,100503,,,59.18,100.0,,,"full export, chunked aggregation",1.0
AppleSupport,twcs.csv,106860,36658,106860,36658,,,34.3,100.0,,,"full export, chunked aggregation",0.5261
Uber_Support,twcs.csv,56270,22160,56270,22160,,,39.38,100.0,,,"full export, chunked aggregation",0.3651
AmericanAir,twcs.csv,36764,18045,36764,18045,,,49.08,100.0,,,"full export, chunked aggregation",0.3118
SpotifyCares,twcs.csv,43265,15096,43265,15096,,,34.89,100.0,,,"full export, chunked aggregation",0.3038
VirginTrains,twcs.csv,27817,18450,27817,18450,,,66.33,100.0,,,"full export, chunked aggregation",0.3011
Delta,twcs.csv,42253,14470,42253,14470,,,34.25,100.0,,,"full export, chunked aggregation",0.2986
Tesco,twcs.csv,38573,12812,38573,12812,,,33.21,100.0,,,"full export, chunked aggregation",0.2833
TMobileHelp,twcs.csv,34317,11662,34317,11662,,,33.98,100.0,,,"full export, chunked aggregation",0.2701
British_Airways,twcs.csv,29361,12485,29361,12485,,,42.52,100.0,,,"full export, chunked aggregation",0.2678
SouthwestAir,twcs.csv,28977,11192,28977,11192,,,38.62,100.0,,,"full export, chunked aggregation",0.2595
GWRHelp,twcs.csv,19364,13127,19364,13127,,,67.79,100.0,,,"full export, chunked aggregation",0.2569
XboxSupport,twcs.csv,24557,11833,24557,11833,,,48.19,100.0,,,"full export, chunked aggregation",0.2568
ATVIAssist,twcs.csv,17650,13055,17650,13055,,,73.97,100.0,,,"full export, chunked aggregation",0.2539
VerizonSupport,twcs.csv,17966,12953,17966,12953,,,72.1,100.0,,,"full export, chunked aggregation",0.2538
comcastcares,twcs.csv,33031,8906,33031,8906,,,26.96,100.0,,,"full export, chunked aggregation",0.2518
Ask_Spectrum,twcs.csv,25860,9536,25860,9536,,,36.88,100.0,,,"full export, chunked aggregation",0.245
hulu_support,twcs.csv,21872,9142,21872,9142,,,41.8,100.0,,,"full export, chunked aggregation",0.2368
AskPlayStation,twcs.csv,19098,9751,19098,9751,,,51.06,100.0,,,"full export, chunked aggregation",0.2363
sprintcare,twcs.csv,22381,8894,22381,8894,,,39.74,100.0,,,"full export, chunked aggregation",0.236
sainsburys,twcs.csv,19466,9331,19466,9331,,,47.93,100.0,,,"full export, chunked aggregation",0.2344
idea_cares,twcs.csv,15724,8730,15724,8730,,,55.52,100.0,,,"full export, chunked aggregation",0.2253
O2,twcs.csv,16212,8508,16212,8508,,,52.48,100.0,,,"full export, chunked aggregation",0.2247
ChipotleTweets,twcs.csv,18749,7389,18749,7389,,,39.41,100.0,,,"full export, chunked aggregation",0.2217
Safaricom_Care,twcs.csv,16077,7674,16077,7674,,,47.73,100.0,,,"full export, chunked aggregation",0.2195
SW_Help,twcs.csv,12231,7977,12231,7977,,,65.22,100.0,,,"full export, chunked aggregation",0.2156
UPSHelp,twcs.csv,17817,5840,17817,5840,,,32.78,100.0,,,"full export, chunked aggregation",0.2111
ArgosHelpers,twcs.csv,12174,6700,12174,6700,,,55.04,100.0,,,"full export, chunked aggregation",0.2079
AirAsiaSupport,twcs.csv,12829,5869,12829,5869,,,45.75,100.0,,,"full export, chunked aggregation",0.2039
MicrosoftHelps,twcs.csv,11304,6228,11304,6228,,,55.1,100.0,,,"full export, chunked aggregation",0.2038
AskTarget,twcs.csv,13218,4713,13218,4713,,,35.66,100.0,,,"full export, chunked aggregation",0.1976
AskAmex,twcs.csv,11358,4869,11358,4869,,,42.87,100.0,,,"full export, chunked aggregation",0.1958
marksandspencer,twcs.csv,11504,4309,11504,4309,,,37.46,100.0,,,"full export, chunked aggregation",0.1927
AdobeCare,twcs.csv,9917,4567,9917,4567,,,46.05,100.0,,,"full export, chunked aggregation",0.1919
BofA_Help,twcs.csv,12683,3783,12683,3783,,,29.83,100.0,,,"full export, chunked aggregation",0.1913
AskeBay,twcs.csv,9686,4488,9686,4488,,,46.33,100.0,,,"full export, chunked aggregation",0.1911
LondonMidland,twcs.csv,6822,4732,6822,4732,,,69.36,100.0,,,"full export, chunked aggregation",0.1883
Morrisons,twcs.csv,10126,3925,10126,3925,,,38.76,100.0,,,"full export, chunked aggregation",0.1883
AskPayPal,twcs.csv,11298,3045,11298,3045,,,26.95,100.0,,,"full export, chunked aggregation",0.1848
AskLyft,twcs.csv,11809,2912,11809,2912,,,24.66,100.0,,,"full export, chunked aggregation",0.1848
JetBlue,twcs.csv,8020,3820,8020,3820,,,47.63,100.0,,,"full export, chunked aggregation",0.1846
AirbnbHelp,twcs.csv,8875,3439,8875,3439,,,38.75,100.0,,,"full export, chunked aggregation",0.1836
GloCare,twcs.csv,6308,3929,6308,3929,,,62.29,100.0,,,"full export, chunked aggregation",0.1827
CoxHelp,twcs.csv,7861,3529,7861,3529,,,44.89,100.0,,,"full export, chunked aggregation",0.1826
airtel_care,twcs.csv,9881,2852,9881,2852,,,28.86,100.0,,,"full export, chunked aggregation",0.1816
AzureSupport,twcs.csv,7565,3226,7565,3226,,,42.64,100.0,,,"full export, chunked aggregation",0.1804
AlaskaAir,twcs.csv,7478,2940,7478,2940,,,39.32,100.0,,,"full export, chunked aggregation",0.1786
AldiUK,twcs.csv,8114,2750,8114,2750,,,33.89,100.0,,,"full export, chunked aggregation",0.1784
McDonalds,twcs.csv,8478,2215,8478,2215,,,26.13,100.0,,,"full export, chunked aggregation",0.1757
ChaseSupport,twcs.csv,8811,1974,8811,1974,,,22.4,100.0,,,"full export, chunked aggregation",0.1748
nationalrailenq,twcs.csv,4444,2798,4444,2798,,,62.96,100.0,,,"full export, chunked aggregation",0.1732
VirginAtlantic,twcs.csv,4318,2679,4318,2679,,,62.04,100.0,,,"full export, chunked aggregation",0.1723
Ask_WellsFargo,twcs.csv,7578,1830,7578,1830,,,24.15,100.0,,,"full export, chunked aggregation",0.1721
NikeSupport,twcs.csv,3468,2498,3468,2498,,,72.03,100.0,,,"full export, chunked aggregation",0.17
GreggsOfficial,twcs.csv,4522,2241,4522,2241,,,49.56,100.0,,,"full export, chunked aggregation",0.17
