conversation_id,customer_message,conversation_context,historical_brand_response,proposed_intent,human_intent,human_escalation,human_notes
1016385,"@AmazonHelp Phoned amazon &amp; ive been refunded, parcel is 3 days late, promised next day with prime. Very stressful, been told might be here tomorrow.","AmazonHelp: @360480 I understand your concern, Rebecca. Have we missed the date promised in your order confirmation e-mail? We'd love to help. ^SK",@360480 Thanks for letting us know! Please keep us posted if you don't receive your delivery by tomorrow! ^KJ,refund_return_or_cancellation,,,
111811,@AmazonHelp The order was placed on the wrong card. Initially I just wanted to change the card. When I was told that was impossible I tried to cancel the order. When that was impossible I was forced to pay $31.00 and have my bank stop payment.,"AmazonHelp: @140835 Thanks for reaching out! We can help with this! Just to clarify, were you trying to change the details of an order after it had shipped? ^TK","@140835 Once an order is being prepared for shipment, we are unable to alter the order in any way. ^ZW",payment_or_card_charge,,,
136918,"@AmazonHelp I am so upset I have just cancelled the whole order.

Have you an email address I can write to you at.

This is the first time I have ever received bad service from Amazon. He even brought me to tears",AmazonHelp: @146885 I'm sorry to hear about the poor experience. Without giving account / personal info can you tell me what the issue was? ^MI,"@146885 Hi, really sorry to hear this. When you contacted us, can you advise what info you were given? Let us know. ^JC",refund_return_or_cancellation,,,
1458914,@AmazonHelp I will contact customer support when my Echo+ arrives and I can assess how broken this English India problem is. Reference in pic! https://t.co/xdMUmhKjeJ,"AmazonHelp: @313072 Sorry to know you're facing issues with our app, Dhananjay. Please reach us from here: https://t.co/rS49hgaADF we'll assist. ^SV",@313072 Request you to wait for the delivery of the device. You can experience the echo skills once delivered. ^SQ,refund_return_or_cancellation,,,
1489135,"@AmazonHelp Oh, except now I can't cancel the order! There's an 'error' stopping me https://t.co/8KcMjhYLHM","AmazonHelp: @465875 Hi, this is the link from the .co.uk site https://t.co/ttxqaQ3dRv ^AS",@465875 I'm really sorry. Please contact us here for help:  https://t.co/hApLpMlfHN ^AT,refund_return_or_cancellation,,,
1721734,@AmazonHelp I mean can i add money to my gift card balance through my debit card instead of going somewhere and buying a gift card,AmazonHelp: @521011 You can use the following Credit cards and Debit cards for payments on Amazon.in mentioned here:https://t.co/XUPK6YCkFA ^EM,@521011 Absolutely! You can top-up Amazon pay balance using your debit card in this page: https://t.co/1LaqKDwbnm ^JC,gift_card_or_promotion,,,
1843523,@AmazonHelp I was issued a refund on 17th for a lost trade in and then it dissapered from my account and no one can tell me why and they stopped replying to me misse all black friday deals and ill miss cyber monday as well,AmazonHelp: @552376 Hi James! Without posting any account information can you tell us more about the issue? We'll be glad to help!^CN,"@552376 Hi, have you raised this issue with us directly?  What site are you using, Amazon US/UK or another location?^ES",refund_return_or_cancellation,,,
1843573,@AmazonHelp goods were being delivered on the 25th but changed to the 24th by yous tracking on 24th an not delivered no tracking info 25th,"AmazonHelp: @552384 Hi, I am sorry to hear this. We strive to offer the best Black Friday and Cyber Week Deals. During this time, deliveries may take slightly longer than usual. Please check the link provided for more details. https://t.co/8inPnyKoZn ^KK",@552384 Hi Carol! What is the current status on the tracking?^CN,delivery_tracking,,,
2269126,@AmazonHelp Other than the dispatch confirmation and delivery which had mysteriously changed - no,"AmazonHelp: @660325 Hey, sorry to hear that. Have you received any email about your order? ^AT","@660325 Really sorry to hear about the delivery issue, we always aim o deliver by the date stated in the order confirmation email. ^JJ",delivery_tracking,,,
2386651,@AmazonHelp They're being delivered to my house on our prime account (its under my dad's name (Bob)),"AmazonHelp: @687783 H Ryan, what name is on the tickets? Are they placed on your name or the name of the person collecting them ? ^CR",@687783 Hey Ryan- Can you get in touch with us via: https://t.co/sZY5KdIrI0 we can look into this with you. Thanks. ^NV,prime_membership_or_benefits,,,
